"sequence","timestamp","rtc_valid","type","type_id","severity","severity_id","source","code","uptime_ms","flags","payload_length","payload_hex"
"50","2026-07-12T00:13:28","True","power","5","info","2","3","1","42667","1","24","050000000300000001000000000000000000000000000000"
"51","2026-07-12T00:13:31","True","power","5","info","2","3","2","42811","1","24","050000000300000001000000010000000300000000000000"
"52","2026-07-12T00:13:36","True","power","5","info","2","3","1","47024","1","24","060000000300000001000000000000000000000000000000"
"53","2026-07-12T00:13:39","True","power","5","info","2","3","2","47196","1","24","060000000300000001000000010000000300000000000000"
"54","2026-07-12T00:13:41","True","self_test","4","info","2","2","0","48870","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
"55","2026-07-12T00:13:46","True","self_test","4","info","2","2","0","53097","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
"56","2026-07-12T00:18:56","True","boot","1","info","2","1","1","0","1","16","72657365743D30783030303030303035"
"57","2026-07-12T00:19:09","True","self_test","4","error","0","2","2","18076","1","24","706173733D3133206661696C3D32206F66666C696E653D30"
"58","2026-07-12T00:19:18","True","fault","3","warning","1","4","1","25326","1","16","01000000020000000200000000000000"
"59","2026-07-12T00:19:19","True","fault","3","error","0","4","3","26828","1","16","01000000020000000200000005000000"
"60","2026-07-12T00:19:21","True","fault","3","warning","1","4","1","28589","1","16","02000000000000000000000000000000"
"61","2026-07-12T00:19:23","True","fault","3","error","0","4","3","30101","1","16","02000000000000000000000005000000"
"62","2026-07-12T00:24:02","True","boot","1","info","2","1","1","0","1","16","72657365743D30783030303030303035"
"63","2026-07-12T00:24:14","True","fault","3","warning","1","4","1","17969","1","16","01000000000000000000000000000000"
"64","2026-07-12T00:24:14","True","self_test","4","info","2","2","0","18092","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
"65","2026-07-12T00:24:16","True","fault","3","error","0","4","3","19479","1","16","01000000000000000000000005000000"
"66","2026-07-12T00:27:23","True","boot","1","info","2","1","1","0","1","16","72657365743D30783030303030303035"
"67","2026-07-12T00:27:36","True","self_test","4","info","2","2","0","18056","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
"68","2026-07-12T00:27:39","True","fault","3","warning","1","4","1","20589","1","16","01000000000000000000000000000000"
"69","2026-07-12T00:27:41","True","fault","3","error","0","4","3","22108","1","16","01000000000000000000000005000000"
"70","2026-07-12T00:27:43","True","fault","3","warning","1","4","1","23891","1","16","02000000000000000000000000000000"
"71","2026-07-12T00:27:45","True","fault","3","error","0","4","3","25393","1","16","02000000000000000000000005000000"
"72","2026-07-12T00:27:50","True","self_test","4","info","2","2","0","28933","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
"73","2026-07-12T00:31:07","True","boot","1","info","2","1","1","0","1","16","72657365743D30783030303030303035"
"74","2026-07-12T00:31:20","True","self_test","4","info","2","2","0","18093","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
"75","2026-07-12T00:31:22","True","fault","3","warning","1","4","1","19530","1","16","01000000000000000000000000000000"
"76","2026-07-12T00:31:22","True","fault","3","info","2","4","2","19559","1","16","01000000000000000100000000000000"
"77","2026-07-12T00:31:26","True","fault","3","warning","1","4","1","22765","1","16","02000000000000000000000000000000"
"78","2026-07-12T00:31:26","True","fault","3","info","2","4","2","22783","1","16","02000000000000000100000000000000"
"79","2026-07-12T00:31:32","True","self_test","4","info","2","2","0","27859","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
"80","2026-07-12T00:38:13","True","boot","1","info","2","1","1","0","1","16","72657365743D30783030303030303035"
"81","2026-07-12T00:38:26","True","self_test","4","info","2","2","0","18066","1","24","706173733D3135206661696C3D30206F66666C696E653D30"
